Sector,GEO,Value,,,,,,,,,,,,,,,,,,
TEXTILES,Nova Scotia,3.30%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Nova Scotia,2.70%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Nova Scotia,0.90%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Prince Edward Island,0.20%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Prince Edward Island,1.10%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Prince Edward Island,5.70%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,Prince Edward Island,0.10%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,Prince Edward Island,0.50%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
TEXTILES,Prince Edward Island,0.00%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Prince Edward Island,0.60%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Prince Edward Island,0.30%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Newfoundland and Labrador,0.10%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Newfoundland and Labrador,1.00%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Newfoundland and Labrador,0.00%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Newfoundland and Labrador,14.60%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Newfoundland and Labrador,10.80%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Newfoundland and Labrador,0.00%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,Newfoundland and Labrador,3.60%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,Newfoundland and Labrador,0.00%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,Newfoundland and Labrador,0.00%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,Newfoundland and Labrador,0.00%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,Newfoundland and Labrador,1.40%,,,,,,,,,,,,,,,,,,
TEXTILES,Newfoundland and Labrador,0.10%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Newfoundland and Labrador,0.20%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Newfoundland and Labrador,1.70%,,,,,,,,,,,,,,,,,,
